Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI 	ET	LITTERFALL
2000	6	25	17.503603	14.862500	23.202600	9.783140	2.952280	-9999	4.158910	-9999	-9999	-9999	-9999
2000	6	26	7.854356	11.940700	15.267300	9.460210	1.051721	-9999	27.556700	-9999	-9999	-9999	-9999
2000	6	27	5.294117	12.443500	15.105200	10.700800	0.609287	-9999	21.360200	-9999	-9999	-9999	-9999
2000	6	28	5.141630	12.510000	17.513100	10.196100	1.118590	-9999	24.840900	-9999	-9999	-9999	-9999
2000	6	29	23.369041	14.281000	19.619100	8.754580	3.557098	-9999	0.000000	-9999	-9999	-9999	-9999
2000	6	30	19.747325	15.487600	21.888600	9.715090	3.870539	-9999	0.359964	-9999	-9999	-9999	-9999
2000	7	1	16.212701	15.234400	19.852800	10.444200	2.134123	-9999	5.363700	-9999	-9999	-9999	-9999
2000	7	2	12.406435	15.928300	19.747100	10.519000	2.061461	-9999	15.696500	-9999	-9999	-9999	-9999
2000	7	3	20.939904	15.840100	21.470500	10.566300	2.577684	-9999	3.314290	-9999	-9999	-9999	-9999
2000	7	4	11.085206	9.943470	13.599700	7.406530	3.054255	-9999	16.266600	-9999	-9999	-9999	-9999
2000	7	5	18.656784	13.240100	17.488100	6.942870	2.452786	-9999	3.553390	-9999	-9999	-9999	-9999
2000	7	6	10.063526	15.209000	17.860500	11.128800	2.056986	-9999	9.779760	-9999	-9999	-9999	-9999
2000	7	7	6.671912	13.346800	18.412300	10.347400	1.011196	-9999	13.822700	-9999	-9999	-9999	-9999
2000	7	8	2.833186	11.324400	13.327000	9.505950	0.743797	-9999	23.820500	-9999	-9999	-9999	-9999
2000	7	9	6.292529	11.479400	13.916500	9.039830	1.393548	-9999	2.754840	-9999	-9999	-9999	-9999
2000	7	10	4.428536	12.074400	14.115800	9.402310	0.980027	-9999	9.762710	-9999	-9999	-9999	-9999
2000	7	11	9.314611	11.941300	15.451000	10.046000	1.738353	-9999	10.682500	-9999	-9999	-9999	-9999
2000	7	12	5.640053	11.934100	15.040500	9.351930	1.345734	-9999	3.419670	-9999	-9999	-9999	-9999
2000	7	13	18.082915	13.568600	17.951900	8.855410	2.267221	-9999	0.851826	-9999	-9999	-9999	-9999
2000	7	14	20.729951	16.344700	21.627200	9.740720	3.359439	-9999	0.174706	-9999	-9999	-9999	-9999
2000	7	15	21.815827	16.851700	22.862900	11.437600	3.588917	-9999	1.109540	-9999	-9999	-9999	-9999
2000	7	16	11.518329	14.523700	18.447300	10.794400	1.958196	-9999	16.005000	-9999	-9999	-9999	-9999
2000	7	17	19.274112	12.878800	17.091500	9.434820	2.708221	-9999	6.469810	-9999	-9999	-9999	-9999
2000	7	18	18.452189	15.706600	22.871700	9.152590	3.299279	-9999	22.682600	-9999	-9999	-9999	-9999
2000	7	19	12.421123	12.710500	17.380200	9.292080	2.031896	-9999	1.612970	-9999	-9999	-9999	-9999
2000	7	20	17.240602	16.728300	22.389000	9.759370	3.680167	-9999	1.346110	-9999	-9999	-9999	-9999
2000	7	21	22.360235	18.299500	24.691500	11.597900	4.971676	-9999	0.122586	-9999	-9999	-9999	-9999
2000	7	22	12.125894	17.679600	22.461600	13.659500	2.706167	-9999	8.517630	-9999	-9999	-9999	-9999
2000	7	23	19.342887	19.090700	24.172700	14.405600	3.051232	-9999	0.382897	-9999	-9999	-9999	-9999
2000	7	24	20.292077	20.971800	27.143000	14.306500	4.552109	-9999	0.176784	-9999	-9999	-9999	-9999
2000	7	25	14.812934	20.858600	26.032400	15.767100	2.882028	-9999	5.387000	-9999	-9999	-9999	-9999
2000	7	26	10.748592	20.664100	25.591400	16.339700	3.131584	-9999	7.335080	-9999	-9999	-9999	-9999
2000	7	27	19.229616	20.995900	28.006800	15.665800	5.016280	-9999	0.063523	-9999	-9999	-9999	-9999
2000	7	28	20.192112	20.244300	26.691300	15.207200	6.832791	-9999	0.000035	-9999	-9999	-9999	-9999
2000	7	29	5.068328	10.441800	18.234400	7.544620	1.922987	-9999	40.699900	-9999	-9999	-9999	-9999
2000	7	30	12.455683	11.760700	15.466600	7.959840	2.986421	-9999	0.091706	-9999	-9999	-9999	-9999
2000	7	31	19.510589	15.922100	22.412900	8.918310	3.795266	-9999	2.016720	-9999	-9999	-9999	-9999
2000	8	1	17.393529	17.837700	22.818500	12.764800	2.992027	-9999	0.450338	-9999	-9999	-9999	-9999
2000	8	2	21.349181	19.654100	26.504400	13.598200	4.350872	-9999	0.000000	-9999	-9999	-9999	-9999
2000	8	3	17.161805	20.255700	27.413600	14.882000	2.908608	-9999	0.000007	-9999	-9999	-9999	-9999
2000	8	4	2.392727	12.745600	18.004700	10.798000	2.073722	-9999	1.142140	-9999	-9999	-9999	-9999
2000	8	5	20.131460	15.791700	23.224900	8.694960	4.081327	-9999	0.235191	-9999	-9999	-9999	-9999
2000	8	6	11.249452	15.086600	20.196800	11.833300	2.518942	-9999	0.001683	-9999	-9999	-9999	-9999
2000	8	7	19.219507	19.696400	27.427700	11.923300	6.140674	-9999	0.354486	-9999	-9999	-9999	-9999
2000	8	8	20.537194	19.899100	27.995900	13.814600	6.795899	-9999	0.000000	-9999	-9999	-9999	-9999
2000	8	9	2.524375	13.766900	18.518400	10.023400	1.198224	-9999	0.833278	-9999	-9999	-9999	-9999
2000	8	10	1.041172	10.732400	12.279600	9.360120	0.670865	-9999	6.029380	-9999	-9999	-9999	-9999
2000	8	11	2.245398	10.804000	12.704500	8.951650	0.651023	-9999	19.627700	-9999	-9999	-9999	-9999
2000	8	12	3.067330	11.313000	13.460600	8.966450	0.672584	-9999	22.279200	-9999	-9999	-9999	-9999
2000	8	13	5.130648	9.929180	12.789500	6.683270	1.557218	-9999	1.096440	-9999	-9999	-9999	-9999
2000	8	14	20.169562	12.301900	18.021700	5.992420	1.823728	-9999	0.000000	-9999	-9999	-9999	-9999
2000	8	15	18.372874	15.200700	20.676400	9.193960	3.226957	-9999	0.000002	-9999	-9999	-9999	-9999
2000	8	16	7.162992	14.242800	18.788800	9.011400	2.709925	-9999	1.645270	-9999	-9999	-9999	-9999
2000	8	17	8.683805	11.221700	14.639000	7.704270	2.284498	-9999	2.174570	-9999	-9999	-9999	-9999
2000	8	18	4.019078	11.608900	13.909200	9.431140	1.087113	-9999	16.053700	-9999	-9999	-9999	-9999
2000	8	19	13.345345	13.584900	17.882600	9.566730	2.451587	-9999	0.359898	-9999	-9999	-9999	-9999
2000	8	20	17.830195	16.984800	22.462900	10.883300	2.808973	-9999	1.244160	-9999	-9999	-9999	-9999
2000	8	21	6.786763	15.643400	19.625500	13.367600	1.628743	-9999	5.263550	-9999	-9999	-9999	-9999
2000	8	22	11.802759	15.506200	22.700100	12.082600	1.839217	-9999	14.995500	-9999	-9999	-9999	-9999
2000	8	23	2.564119	12.503200	14.021200	10.421300	0.986828	-9999	17.466700	-9999	-9999	-9999	-9999
