year,mo,day,leFMDS_Wm2,hFMDS_Wm2
2005,10,5,4.546850625,11.6028833333333
2005,10,6,21.0275514375,13.5670729166667
2005,10,7,29.6583333333333,25.1354166666667
2005,10,8,25.5666666666667,-3.90416666666667
2005,10,9,10.160874375,-22.8637875
2005,10,10,20.321875,-11.2695891666667
2005,10,11,23.5914978541667,-0.68625625
2005,10,12,21.1207972083333,-1.97672291666667
2005,10,13,24.9567,4.58832916666667
2005,10,14,1.20637916666667,-17.7729166666667
2005,10,15,24.1536129375,-1.86718958333333
2005,10,16,15.61519736875,11.32539125
2005,10,17,9.19418671666667,5.48147083333333
2005,10,18,14.6574847708333,24.2732333333333
2005,10,19,11.6834220625,3.37044958333333
2005,10,20,1.39791666666667,-31.19375
2005,10,21,9.06041666666667,-10.3333333333333
2005,10,22,7.83596202083333,-94.5979166666667
2005,10,23,22.7756583333333,-39.9848895833333
2005,10,24,12.1817564791667,-8.91091041666667
2005,10,25,-0.765874016666667,-104.624191666667
2005,10,26,11.77112536875,-108.3625
2005,10,27,1.61250235770833,-1.275
2005,10,28,17.5971373541667,22.8058979166667
2005,10,29,13.91952005625,6.69157708333333
2005,10,30,17.8224402083333,4.81690208333333
2005,10,31,13.7299437291667,-0.720833333333333
2005,11,1,0.983351125,-19.6412395833333
2005,11,2,7.8765178125,-20.532875
2005,11,3,0.31697296875,0.316666666666667
2005,11,4,0.741362916666667,-29.5520833333333
2005,11,5,-0.615852916666666,-21.8958333333333
2005,11,6,-5.96687104166667,-30.9354166666667
2005,11,7,-3.8271694375,-14.7022958333333
2005,11,8,4.82432083083333,-12.0666666666667
2005,11,9,14.2670973916667,-15.680325
2005,11,10,13.8181744958333,-33.2601208333333
2005,11,11,-3.30285041666667,-41.4725895833333
2005,11,12,-9.15400104166667,-34.2436770833333
2005,11,13,5.83372479166667,-36.0934208333333
2005,11,14,18.3743141666667,-104.177589583333
2005,11,15,25.5543247916667,-142.007147916667
2005,11,16,2.4593243125,-48.0169527083333
2005,11,17,4.07467085416667,-23.604118125
2005,11,18,6.81410935416667,-30.5533514583333
2005,11,19,6.2805809375,-25.7582708958333
2005,11,20,8.32179039583333,-32.6158529791667
2005,11,21,6.783978625,-25.0149521458333
2005,11,22,2.67369004166667,-31.40890625
2005,11,23,0.896853791666667,-15.3805083333333
2005,11,24,4.7523583125,-29.7350958333333
2005,11,25,-0.0307965625,-22.6223979166667
2005,11,26,-2.12060333333333,-21.4152385416667
2005,11,27,-1.79278002083333,-13.6641445833333
2005,11,28,-2.17689708333333,-14.05318035625
2005,11,29,-3.27239395833333,-20.9914364583333
2005,11,30,-0.458333333333333,-24.85625
2005,12,1,-1.22916666666667,-28.55
2005,12,2,-8.08541666666667,-16.6645833333333
2005,12,3,-3.81458333333333,-2.46875
2005,12,4,-0.3875,0.4375
2005,12,5,-0.325,-2.09375
2005,12,6,0.48125,-7.12083333333333
2005,12,7,0.385416666666667,-1.54583333333333
2005,12,8,-2.79583333333333,-18.2916666666667
2005,12,9,1.56730625,-5.83958333333333
2005,12,10,0.0375,-27.9
2005,12,11,-3.74166666666667,-79.1125
2005,12,12,2.04791666666667,-69.43125
2005,12,13,-3.6875,-59.73125
2005,12,14,-3.29166666666667,-39.4916666666667
2005,12,15,-6.03958333333333,-149.270510416667
2005,12,16,-3.78958333333333,-48.4645833333333
2005,12,17,0.95,-36.1541666666667
2005,12,18,1.9269675,-46.0094916666667
2005,12,19,-0.7508975,-15.5142479166667
2005,12,20,-4.10646354166667,-57.23125
2005,12,21,-0.03352875,-21.9375
2005,12,22,-9.4125,-100.541666666667
2005,12,23,2.059771875,-26.6333333333333
2005,12,24,-16.3583333333333,-107.88125
2005,12,25,0.8375,-40.9833333333333
2005,12,26,-5.78200854166667,-18.1854166666667
2005,12,27,-12.19375,-24.5645833333333
2005,12,28,-5.96309464583333,-12.9983220833333
2005,12,29,-12.6172089583333,-20.7895833333333
2005,12,30,-10.1495670833333,-40.6770833333333
2005,12,31,-1.65833333333333,1.20208333333333
2006,1,1,-0.392057708333333,-13.1046458333333
2006,1,2,1.24375,-10.4770833333333
2006,1,3,-2.19089310416667,-15.0152029166667
2006,1,4,-1.77126367354167,-13.323039375
2006,1,5,-0.396509583333333,10.24375
2006,1,6,-1.89583333333333,19.0666666666667
2006,1,7,-0.222916666666667,9.26041666666667
2006,1,8,-0.583333333333333,-31.0666666666667
2006,1,9,-0.0326584583333333,-22.7424041666667
2006,1,10,-0.145833333333333,-47.74375
2006,1,11,1.980428875,-86.2541666666667
2006,1,12,4.29375,-47.63125
2006,1,13,1.87708333333333,1.40208333333333
2006,1,14,1.0125,1.75625
2006,1,15,1.3375,-11.0645833333333
2006,1,16,-1.12708333333333,-10.1833333333333
2006,1,17,-0.192708333333333,-7.05729166666667
2006,1,18,1.29414726666667,-14.6691945833333
2006,1,19,-1.65402020833333,0.14493125
2006,1,20,-1.56680791666667,-10.6637291666667
