Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS
2001	6	24	19.3422	14.2794	17.928	10.9738	2.03412	11.7496	0	25.8619	-9999	-9999	-9999
2001	6	25	26.5978	13.7252	18.2659	10.1015	2.75513	11.5767	0	25.5275	-9999	-9999	-9999
2001	6	26	28.345	16.698	20.8336	11.334	4.33524	12.1524	0	25.2734	-9999	-9999	-9999
2001	6	27	28.2931	18.3963	22.9623	13.4486	7.0171	12.6093	0	24.8198	-9999	-9999	-9999
2001	6	28	12.5669	17.2048	20.4387	13.8921	2.33251	12.9034	0.626087	24.4993	-9999	-9999	-9999
2001	6	29	22.7496	17.0383	21.0697	12.0503	3.35149	13.0641	0	24.1656	-9999	-9999	-9999
2001	6	30	18.4744	18.093	21.676	14.4892	3.56819	13.436	4.28936	23.7177	-9999	-9999	-9999
2001	7	1	21.5549	15.7436	18.939	13.1552	3.02667	13.3365	1.87826	24.8097	-9999	-9999	-9999
2001	7	2	21.0505	15.3791	19.5325	11.7335	4.04273	12.8876	0	24.0713	-9999	-9999	-9999
2001	7	3	27.2189	18.3356	22.4574	12.6713	5.67673	13.207	0	23.4979	-9999	-9999	-9999
2001	7	4	29.0965	18.0269	21.6641	13.6896	6.67083	13.5114	0	22.9599	-9999	-9999	-9999
2001	7	5	26.7937	19.2823	24.2078	13.5846	6.0615	13.7918	0	22.1617	-9999	-9999	-9999
2001	7	6	27.3442	20.655	25.3325	15.1728	6.84346	14.488	0	21.2226	-9999	-9999	-9999
2001	7	7	23.4933	21.9641	26.4706	15.3258	6.5425	15.1648	0	20.4167	-9999	-9999	-9999
2001	7	8	22.5057	21.4807	26.7358	15.365	4.77824	15.7466	0	19.5394	-9999	-9999	-9999
2001	7	9	7.09642	17.3756	18.6398	15.2005	1.5473	14.9003	0	19.133	-9999	-9999	-9999
2001	7	10	18.6297	17.4867	20.3841	14.9721	3.50407	14.5505	0	18.7831	-9999	-9999	-9999
2001	7	11	18.568	14.6197	18.6964	10.9163	1.90638	13.9728	15.4909	19.7701	-9999	-9999	-9999
2001	7	12	18.9295	14.7576	16.8551	11.2886	3.17274	13.3342	17.1574	22.7847	-9999	-9999	-9999
2001	7	13	16.6971	13.8245	16.5888	10.9152	2.18043	13.0342	0.612766	24.0694	-9999	-9999	-9999
2001	7	14	17.1212	15.2898	19.048	11.4409	3.24656	13.0979	0	23.2688	-9999	-9999	-9999
