
n_days	Rg_f	Ta_min	Ta_max	VPD_f 	 Ts_f  	Precip 	SWC	LAI
13	14.36	13,7	23,7	-9999	0.20	0	-9999	0.00
14	14.36	10,9	19,1	-9999	0.20	0	-9999	0.00
15	14.36	8,4	16,6	-9999	0.20	0	-9999	0.00
16	14.36	8	16,9	-9999	0.20	0	-9999	0.00
17	14.36	7,3	20,7	-9999	0.20	0	-9999	0.00
18	14.36	8,6	21,4	-9999	0.20	0,6	-9999	0.00
19	14.36	11,3	19,5	-9999	0.20	65	-9999	0.00
20	14.36	9,7	18,8	-9999	0.20	0	-9999	0.00
21	14.36	8,5	15,1	-9999	0.20	0	-9999	0.00
22	14.36	7,4	19,6	-9999	0.20	0	-9999	0.00
23	14.36	8	19,2	-9999	0.20	0	-9999	0.00
24	14.36	8,7	20,7	-9999	0.20	0	-9999	0.00
25	14.36	13,5	21,8	-9999	0.16	0,2	-9999	0.00
26	14.36	12,8	21,9	-9999	0.16	0	-9999	0.00
27	14.36	10,6	16,4	-9999	0.16	0	-9999	0.00
28	14.36	9,4	19,3	-9999	0.16	0	-9999	0.00
29	14.36	11,6	21,9	-9999	0.16	0	-9999	0.00
30	14.36	11,2	19,4	-9999	0.16	0	-9999	0.00
31	14.36	9,6	19,3	-9999	0.16	-9999	-9999	0.00
1	9.25	10,4	18,8	-9999	0.16	0	-9999	0.00
2	9.25	10	19,1	-9999	0.16	0	-9999	0.00
3	9.25	9,8	20,3	-9999	0.16	0	-9999	0.00
4	9.25	14,3	20,4	-9999	0.16	0	-9999	0.00
5	9.25	16	18,3	-9999	0.16	0	-9999	0.00
6	9.25	11,7	19,1	-9999	0.16	0	-9999	0.00
7	9.25	12,1	19,2	-9999	0.16	0	-9999	0.00
8	9.25	11,9	19,1	-9999	0.16	0	-9999	0.00
9	9.25	10,5	22,1	-9999	0.16	0	-9999	0.00
10	9.25	10	19,7	-9999	0.16	0	-9999	0.00
11	9.25	8,9	16,9	-9999	0.16	0	-9999	0.00
12	9.25	6,8	14,6	-9999	0.16	0	-9999	0.00
13	9.25	5,2	15,3	-9999	0.16	0	-9999	0.00
14	9.25	5,1	14,5	-9999	0.16	0	-9999	0.00
15	9.25	3,4	16,5	-9999	0.16	0	-9999	0.00
16	9.25	5,2	16,2	-9999	0.16	0	-9999	0.00
17	9.25	5,2	17,3	-9999	0.16	0	-9999	0.00
18	9.25	4,1	17	-9999	0.16	0	-9999	0.00
19	9.25	4,1	13,4	-9999	0.16	0,8	-9999	0.00
20	9.25	4,5	15,8	-9999	0.16	6,6	-9999	0.00
21	9.25	5,7	14,9	-9999	0.16	0	-9999	0.00
22	9.25	7,9	12,2	-9999	0.16	0	-9999	0.00
23	9.25	10,1	16,4	-9999	0.16	0,2	-9999	0.00
24	9.25	8,3	15,6	-9999	0.16	0	-9999	0.00
25	9.25	7,8	18,3	-9999	0.16	0	-9999	0.00
26	9.25	7,4	16,3	-9999	0.26	24,6	-9999	0.00
27	9.25	5,5	17,1	-9999	0.26	0,2	-9999	0.00
28	9.25	5,9	14,7	-9999	0.26	0	-9999	0.00
29	9.25	6,9	18,2	-9999	0.26	0	-9999	0.00
30	9.25	5,5	15,4	-9999	0.26	0	-9999	0.00
1	7.15	6,9	18,6	-9999	0.26	0	-9999	0.00
2	7.15	8,5	17,4	-9999	0.26	0	-9999	0.00
3	7.15	11,5	17,5	-9999	0.26	0	-9999	0.00
4	7.15	10,9	17,7	-9999	0.26	0	-9999	0.00
5	7.15	11,8	14,6	-9999	0.26	0,2	-9999	0.00
6	7.15	6,9	15	-9999	0.26	10,4	-9999	0.00
7	7.15	6,3	15,2	-9999	0.26	8	-9999	0.00
8	7.15	7,5	17,6	-9999	0.26	1,8	-9999	0.00
9	7.15	7,2	14,9	-9999	0.26	0	-9999	0.00
10	7.15	11,1	15,6	-9999	0.26	0	-9999	0.00
11	7.15	9,8	15,3	-9999	0.26	0	-9999	0.00
12	7.15	9,8	14,8	-9999	0.26	0	-9999	0.00
13	7.15	5,7	14,5	-9999	0.26	0	-9999	0.00
14	7.15	7,7	14,8	-9999	0.26	0	-9999	0.00
15	7.15	9,3	15,1	-9999	0.26	0	-9999	0.00
16	7.15	7,9	13,8	-9999	0.26	0	-9999	0.00
17	7.15	2,9	13,4	-9999	0.26	0	-9999	0.00
18	7.15	1,2	6,1	-9999	0.26	0	-9999	0.00
19	7.15	1,6	7,6	-9999	0.26	0	-9999	0.00
20	7.15	0	9,2	-9999	0.26	0	-9999	0.00
21	7.15	1,6	9,4	-9999	0.26	0	-9999	0.00
22	7.15	2,8	8,8	-9999	0.26	2,4	-9999	0.00
23	7.15	3,1	12,9	-9999	0.26	0	-9999	0.00
24	7.15	2,7	10,3	-9999	0.26	0	-9999	0.00
25	7.15	4,9	10,6	-9999	0.26	0	-9999	0.00
26	7.15	3	11	-9999	0.26	0	-9999	0.00
27	7.15	4,6	12	-9999	0.16	0	-9999	0.00
28	7.15	1,6	13,6	-9999	0.16	0	-9999	0.00
29	7.15	2,1	12,1	-9999	0.16	0	-9999	0.00
30	7.15	3,5	11,7	-9999	0.16	0	-9999	0.00
31	7.15	1,9	10,2	-9999	0.16	-9999	-9999	0.00

